reviewerID,negative,neutral,positive,helpfulness,burst,count
A3DOPYDOS49I3T,0.0,0.0,1.0,4.0,0.0,5
A2G7O8WVSP6SV6,0.0,0.0,1.0,0,1.5,5
A1HWV9AYUMH3HV,0.0,0.0,1.0,3.0,0.142857142857,8
A6FIW5DREWU28,0.0,0.2,0.8,1.0,0.666666666667,5
ATMHSONJ55YN6,0.3,0.1,0.6,5.0,0.111111111111,10
A2068BC3ZXAVJQ,0.0,0.0,1.0,0,0.25,5
A14HSZMTMRVA7S,0.0,0.0,1.0,3.0,6.0,7
A92XNAC3PIV8H,0.0,0.0,1.0,0.5,0.666666666667,5
AIKQUNWRUPK4S,0.0,0.0,1.0,2.5,1.33333333333,7
A12QUYMZZ8FMIX,0.2,0.2,0.6,2.0,0.25,5
A7P7OP5UW6APV,0.0,0.0,1.0,0,0.2,6
A2EGNH6NVPQBLI,0.0,0.0,1.0,3.0,1.5,5
A1TPZZ9HDPBBS0,0.0,0.0,1.0,2.0,3.0,8
A2NSMJVQY0RV9S,0.0,0.0,1.0,9.09761904762,0.181818181818,13
A35OFFNQPKC59U,0.0,0.0,1.0,2.0,0.0,5
A25OPQ3GYAVT6L,0.0,0.0,1.0,0,1.5,5
A1E752HE229Q0Y,0.571428571429,0.142857142857,0.285714285714,2.0,0.75,7
A229HX2CXCNCPA,0.0,0.0,1.0,2.0,0.25,5
A1Q618AI7CRY6,0.111111111111,0.0,0.888888888889,3.91666666667,0.8,9
A11QLJF4I1CAMP,0.2,0.0,0.8,1.0,0.25,5
A13UE6Y36CA6O3,0.142857142857,0.0,0.857142857143,0.5,0.4,7
AXAJXJZUL2J5P,0.0,0.571428571429,0.428571428571,1.28571428571,0.166666666667,7
A3IFXSOTK5PMCQ,0.0,0.0,1.0,0,0.666666666667,5
A22SHT4UYTDDF4,0.0,0.166666666667,0.833333333333,1.0,1.0,6
A2ZJ6IL2HTS9LO,0.375,0.125,0.5,1.0,0.333333333333,8
