reviewerID,negative,neutral,positive,helpfulness,burst,count
A2TGBWJD3UG4TZ,0.166666666667,0.166666666667,0.666666666667,1.6,0.0,6
A3MH40TK0FRBYG,0.1,0.0,0.9,1.0,2.33333333333,10
A22IWLF9X6ZVDN,0.0,0.625,0.375,1.3,1.0,8
A21X0SNUI6A6AX,0.0,0.142857142857,0.857142857143,0,0.166666666667,7
A3L480V4GK0B0T,0.111111111111,0.222222222222,0.666666666667,2.5,0.5,9
A2L6LGTCAO02FY,0.047619047619,0.142857142857,0.809523809524,10.1382352941,0.235294117647,21
AD7L6PWWDCP2R,0.166666666667,0.0,0.833333333333,1.5,5.0,6
A2YHK5FHZHYOJG,0.0,0.2,0.8,3.0,0.666666666667,5
A7DYBDGVB2LC4,0.0,0.153846153846,0.846153846154,3.0,0.444444444444,13
AEUYRH8AENK3H,0.166666666667,0.0,0.833333333333,1.375,0.2,6
A1WINODW6GAK1T,0.0,0.25,0.75,1.0,0.142857142857,8
A2C55YH7OZKWSH,0.2,0.0,0.8,0.666666666667,1.5,5
A2VQ1CCN943498,0.166666666667,0.166666666667,0.666666666667,0.666666666667,1.0,6
A317QVSSNIOPMU,0.0,0.0,1.0,1.5,0.25,5
A3EY44JIB6A4OE,0.545454545455,0.0909090909091,0.363636363636,5.67116013072,0.0,11
A6LJ4GJEDWHOQ,0.428571428571,0.285714285714,0.285714285714,0,2.5,7
A1M7LU1F3ZHKKA,0.125,0.125,0.75,4.0,0.6,8
AFM7FK7NFEKFZ,0.0,0.0,1.0,2.65909090909,0.142857142857,8
A31BTM3B296H3C,0.0,0.0,1.0,0,1.5,5
A12YPGHNNFXIVN,0.0,0.142857142857,0.857142857143,0.5,0.75,7
A3EQVTUPFAYS7Y,0.2,0.0,0.8,0,0.25,5
A7OCUC9MX712N,0.0,0.0,1.0,4.0,1.5,15
A1Q8B8RJOE6TD7,0.0,0.2,0.8,1.0,0.666666666667,5
A1DWVA2JDP7HTH,0.153846153846,0.153846153846,0.692307692308,2.16666666667,1.6,13
AUQ814GTDM07J,0.0,0.285714285714,0.714285714286,3.42307692308,1.33333333333,7
A2I00S6XP386K2,0.0,0.428571428571,0.571428571429,1.75,1.33333333333,7
A1RTZMRAR45PX7,0.0,0.0,1.0,0,4.0,5
A2X1VX3BI2MLZL,0.0,0.0,1.0,3.17948717949,0.666666666667,5
A2RAGE340KEF9M,0.0,0.142857142857,0.857142857143,0.5,2.5,7
A2ZIF718W4OWSF,0.2,0.2,0.6,1.28947368421,0.666666666667,5
AAAJB9P8GYA2P,0.0,0.0,1.0,4.44117647059,0.25,5
AHSSHK7X6I1ID,0.133333333333,0.333333333333,0.533333333333,1.0,0.363636363636,15
A38JQBT9PJ8UBP,0.0,0.0,1.0,1.0,0.25,5
A8URDZ9QAF6AC,0.2,0.0,0.8,0,0.0,5
A1HKMRQLX88IGI,0.0,0.2,0.8,1.0,1.5,5
A2ZBWGQ4ZU2VJE,0.0,0.0,1.0,3.0,0.0,7
A1S05HC5NI82I2,0.0,0.125,0.875,1.0,3.0,8
ATZ76T8T44SOH,0.166666666667,0.0,0.833333333333,3.5,2.0,6
A1GB3ED4D8ENX7,0.333333333333,0.0,0.666666666667,2.0,0.2,6
A3EDKO7RYT3Z1N,0.0,0.2,0.8,2.0,0.0,5
A3Q3LO1DHKTWY8,0.142857142857,0.142857142857,0.714285714286,3.0,0.75,7
A3QRGJ2NJB4GUW,0.0,0.0,1.0,1.0,1.5,5
A2IXP7RZB8RWT3,0.142857142857,0.142857142857,0.714285714286,3.66666666667,0.4,7
A1J74R1SB3MFN2,0.6,0.0,0.4,1.0,1.5,5
A2R357TJD0ANQ,0.0,0.0,1.0,0.333333333333,0.2,6
A281DJN4G15865,0.0,0.0,1.0,0,0.75,7
AOV5WQ1C07RJR,0.0,0.2,0.8,1.0,0.0,5
A2KS0G4HO2A3GU,0.0,0.0,1.0,2.0,5.0,6
APBY7DOIUDXOD,0.333333333333,0.166666666667,0.5,4.85121714533,0.0,6
AAV4THMM7S3ER,0.2,0.2,0.6,0.5,0.25,5
A123P20MGILV0D,0.0,0.166666666667,0.833333333333,1.0,1.0,6
A3FL8LMYFSGYHM,0.0,0.0,1.0,0,0.666666666667,5
AHYYBXUIXFWCA,0.0,0.0,1.0,0,0.25,5
A221775TNH5KPW,0.0,0.0,1.0,1.0,0.666666666667,5
A318LTU2HGMCJ1,0.0,0.0,1.0,2.5,1.5,10
A109J2YH1U1POP,0.0,0.0909090909091,0.909090909091,1.77777777778,4.5,11
AK9A2F9ZKRON,0.142857142857,0.285714285714,0.571428571429,0.666666666667,0.75,7
AJ0W5GUI55P0O,0.7,0.0,0.3,3.0,1.5,10
A22AWU9NUVE0IZ,0.0,0.333333333333,0.666666666667,1.0,0.2,6
A3FQZH8PJB535A,0.0,0.2,0.8,1.0,0.0,5
A1QWMH66PHTJYR,0.0,0.25,0.75,3.16666666667,0.0,8
A1BUJ1532IYANQ,0.571428571429,0.142857142857,0.285714285714,4.33225108225,0.4,7
A0768747259K2OZVNPZ0H,0.166666666667,0.333333333333,0.5,0.5,0.2,6
A3G5Q1VJB9DZJ3,0.4,0.0,0.6,2.51904761905,0.25,5
AFBTCQKFZX8OM,0.0714285714286,0.428571428571,0.5,3.0,3.0,28
A1CF32T92LSDRK,0.0,0.166666666667,0.833333333333,1.0,1.0,6
A1T5OU95MI5WBV,0.0,0.2,0.8,1.0,1.5,5
A25CY0I386755K,0.0,0.125,0.875,0,7.0,16
AZRDJPID749X8,0.0,0.0,1.0,1.5,0.2,6
AHJPLEN55N90W,0.0,0.0,1.0,2.5,0.0,6
AWO8CZHT89VO7,0.2,0.4,0.4,2.0,0.666666666667,5
A2XIQMUFCA99WF,0.4,0.0,0.6,0,0.0,5
A3QV14DZT7ZONF,0.0,0.6,0.4,0,1.5,5
A3O34GWRDELSXM,0.0,0.0,1.0,0,1.0,6
A1TNSZNP1O4WAU,0.285714285714,0.285714285714,0.428571428571,2.3,0.4,7
A18SOCV6093ZJ2,0.0,0.0,1.0,0.5,0.25,5
A339UFU193HWIW,0.0,0.0,1.0,0,0.25,5
A8QNEMR53M7GX,0.0,0.0,1.0,0,2.0,6
A2QLXH6ZXABYQJ,0.142857142857,0.142857142857,0.714285714286,2.0,0.75,7
A2JGWDPGYD5X0N,0.166666666667,0.0,0.833333333333,1.66666666667,2.0,6
A2YWWDHISIRQF2,0.0,0.4,0.6,0,0.25,5
A1B5KX3RB3PA9H,0.0,0.0,1.0,2.0,0.666666666667,5
A30297D0E87D4Q,0.0,0.0,1.0,0.882352941176,0.0,6
A3VEB3Z0YV2JV9,0.0,0.0,1.0,2.0,0.25,5
A1AJNSUJYMP4NF,0.0,0.0,1.0,0,0.2,6
A3B01VGZQRGIFJ,0.0,0.0,1.0,2.66666666667,0.25,5
ATL4XPJFR1R4V,0.571428571429,0.285714285714,0.142857142857,2.5,0.0,7
A1GP3VXORQCEVB,0.4,0.6,0.0,1.83333333333,0.25,5
A2KJ33RKVGFTS9,0.0,0.0,1.0,1.0,1.5,5
A1K7WQYKD63S5A,0.0,0.0,1.0,0,0.666666666667,5
A3BCXSNZVVESBS,0.4,0.0,0.6,1.0,4.0,5
A1NVEPX8UNLFRN,0.0,0.125,0.875,1.3,3.0,8
A1YYXM9YCVAIYI,0.0,0.0,1.0,0,0.666666666667,5
ANX8ZIGZS5TMB,0.2,0.0,0.8,1.0,0.25,5
A21WDSFK5QOURU,0.2,0.0,0.8,2.25,0.666666666667,5
A9GRT03F0DRB4,0.0,0.1,0.9,0,0.666666666667,10
A22X9CCDZJVRI0,0.111111111111,0.0,0.888888888889,1.5,0.125,9
AQHYPU9OIL1IL,0.0,0.0,1.0,0,0.25,5
A1OBUS9652B03U,0.375,0.0,0.625,0,0.6,8
A2YHF6O2D37PMX,0.333333333333,0.333333333333,0.333333333333,3.33333333333,0.2,6
A2D1FZB1IA9OTD,0.0,0.0,1.0,1.75,0.0,7
AYATRX08P5L2F,0.2,0.0,0.8,2.0,0.0,5
A31RPS2JZ990NE,0.285714285714,0.285714285714,0.428571428571,3.46666666667,0.166666666667,7
A342ZILZJ260ST,0.0,0.0,1.0,1.5,0.125,9
A3CS5I0AHBY3FO,0.0,0.2,0.8,0,1.5,5
AVI7ANV9SXJDO,0.4,0.2,0.4,2.0,0.25,5
AQRW14BTS4M5O,0.2,0.0,0.8,2.92857142857,0.25,5
A2BB6AX0AZ7FRL,0.333333333333,0.0,0.666666666667,0.965517241379,1.25,9
A1DABVD2GBGBEF,0.1,0.2,0.7,4.0,2.33333333333,10
AI4AUESH2VFBD,0.0,0.0,1.0,0.5,0.0,5
A24G2J177JC1OE,0.0,0.0,1.0,1.5,0.0,5
A2DDDDYA7N1NCK,0.0,0.0,1.0,1.0,0.666666666667,5
A03523552G1P2GZGUZLQ9,0.0,0.166666666667,0.833333333333,1.0,0.5,6
