ReviewerID,Negative,Neutral,Positive,Helpfulness,Burst,Count,Label
A2TGBWJD3UG4TZ,0.166666666667,0.166666666667,0.666666666667,1.6,0.0,6,TRUTHFUL
A3MH40TK0FRBYG,0.1,0.0,0.9,1.0,2.33333333333,10,TRUTHFUL
A22IWLF9X6ZVDN,0.0,0.625,0.375,1.3,1.0,8,FAKE
A21X0SNUI6A6AX,0.0,0.142857142857,0.857142857143,0,0.166666666667,7,TRUTHFUL
A3L480V4GK0B0T,0.111111111111,0.222222222222,0.666666666667,2.5,0.5,9,TRUTHFUL
A2L6LGTCAO02FY,0.047619047619,0.142857142857,0.809523809524,10.1382352941,0.235294117647,21,TRUTHFUL
AD7L6PWWDCP2R,0.166666666667,0.0,0.833333333333,1.5,5.0,6,FAKE
A2YHK5FHZHYOJG,0.0,0.2,0.8,3.0,0.666666666667,5,TRUTHFUL
A7DYBDGVB2LC4,0.0,0.153846153846,0.846153846154,3.0,0.444444444444,13,TRUTHFUL
AEUYRH8AENK3H,0.166666666667,0.0,0.833333333333,1.375,0.2,6,TRUTHFUL
A1WINODW6GAK1T,0.0,0.25,0.75,1.0,0.142857142857,8,TRUTHFUL
A2C55YH7OZKWSH,0.2,0.0,0.8,0.666666666667,1.5,5,TRUTHFUL
A2VQ1CCN943498,0.166666666667,0.166666666667,0.666666666667,0.666666666667,1.0,6,TRUTHFUL
A317QVSSNIOPMU,0.0,0.0,1.0,1.5,0.25,5,TRUTHFUL
A3EY44JIB6A4OE,0.545454545455,0.0909090909091,0.363636363636,5.67116013072,0.0,11,TRUTHFUL
A6LJ4GJEDWHOQ,0.428571428571,0.285714285714,0.285714285714,0,2.5,7,FAKE
A1M7LU1F3ZHKKA,0.125,0.125,0.75,4.0,0.6,8,TRUTHFUL
AFM7FK7NFEKFZ,0.0,0.0,1.0,2.65909090909,0.142857142857,8,TRUTHFUL
A31BTM3B296H3C,0.0,0.0,1.0,0,1.5,5,TRUTHFUL
A12YPGHNNFXIVN,0.0,0.142857142857,0.857142857143,0.5,0.75,7,TRUTHFUL
A3EQVTUPFAYS7Y,0.2,0.0,0.8,0,0.25,5,TRUTHFUL
A7OCUC9MX712N,0.0,0.0,1.0,4.0,1.5,15,TRUTHFUL
A1Q8B8RJOE6TD7,0.0,0.2,0.8,1.0,0.666666666667,5,TRUTHFUL
A1DWVA2JDP7HTH,0.153846153846,0.153846153846,0.692307692308,2.16666666667,1.6,13,TRUTHFUL
AUQ814GTDM07J,0.0,0.285714285714,0.714285714286,3.42307692308,1.33333333333,7,TRUTHFUL
A2I00S6XP386K2,0.0,0.428571428571,0.571428571429,1.75,1.33333333333,7,TRUTHFUL
A1RTZMRAR45PX7,0.0,0.0,1.0,0,4.0,5,FAKE
A2X1VX3BI2MLZL,0.0,0.0,1.0,3.17948717949,0.666666666667,5,TRUTHFUL
